# BEGIN HISTO1D /res/oxford_combined_rw2/histo_D2_fj_inter_C1e
Path=/res/oxford_combined_rw2/histo_D2_fj_inter_C1e
Title=D2_fj_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	1.332215e+06	3.560494e+05	3.560494e+05
1.666667e-02	3.333333e-02	1.332215e+06	3.560496e+05	3.560496e+05
3.333333e-02	5.000000e-02	1.237056e+06	3.430978e+05	3.430978e+05
5.000000e-02	6.666667e-02	1.332215e+06	3.560494e+05	3.560494e+05
6.666667e-02	8.333333e-02	1.332215e+06	3.560496e+05	3.560496e+05
8.333333e-02	1.000000e-01	1.617689e+06	3.923473e+05	3.923473e+05
1.000000e-01	1.166667e-01	1.427370e+06	3.685455e+05	3.685455e+05
1.166667e-01	1.333333e-01	1.712854e+06	4.037238e+05	4.037238e+05
1.333333e-01	1.500000e-01	1.845329e+06	4.536048e+05	4.536048e+05
1.500000e-01	1.666667e-01	1.046738e+06	3.156035e+05	3.156035e+05
1.666667e-01	1.833333e-01	1.903172e+06	4.255622e+05	4.255622e+05
1.833333e-01	2.000000e-01	1.903160e+06	4.255597e+05	4.255597e+05
2.000000e-01	2.166667e-01	1.427370e+06	3.685455e+05	3.685455e+05
2.166667e-01	2.333333e-01	1.998330e+06	4.360715e+05	4.360715e+05
2.333333e-01	2.500000e-01	1.547614e+06	4.161356e+05	4.161356e+05
2.500000e-01	2.666667e-01	1.046738e+06	3.156035e+05	3.156035e+05
2.666667e-01	2.833333e-01	1.998330e+06	4.360715e+05	4.360715e+05
2.833333e-01	3.000000e-01	1.141896e+06	3.296371e+05	3.296371e+05
3.000000e-01	3.166667e-01	1.332212e+06	3.560488e+05	3.560488e+05
3.166667e-01	3.333333e-01	2.844871e+06	8.739504e+05	8.739504e+05
3.333333e-01	3.500000e-01	1.998318e+06	4.360689e+05	4.360689e+05
3.500000e-01	3.666667e-01	2.474108e+06	4.852127e+05	4.852127e+05
3.666667e-01	3.833333e-01	1.998330e+06	4.360715e+05	4.360715e+05
3.833333e-01	4.000000e-01	1.332212e+06	3.560488e+05	3.560488e+05
4.000000e-01	4.166667e-01	1.522528e+06	3.806321e+05	3.806321e+05
4.166667e-01	4.333333e-01	1.903172e+06	4.255622e+05	4.255622e+05
4.333333e-01	4.500000e-01	2.283792e+06	4.661773e+05	4.661773e+05
4.500000e-01	4.666667e-01	1.575008e+06	3.970173e+05	3.970173e+05
4.666667e-01	4.833333e-01	1.903172e+06	4.255622e+05	4.255622e+05
4.833333e-01	5.000000e-01	1.427370e+06	3.685455e+05	3.685455e+05
5.000000e-01	5.166667e-01	1.617686e+06	3.923466e+05	3.923466e+05
5.166667e-01	5.333333e-01	1.808013e+06	4.147867e+05	4.147867e+05
5.333333e-01	5.500000e-01	1.998318e+06	4.360689e+05	4.360689e+05
5.500000e-01	5.666667e-01	1.332212e+06	3.560488e+05	3.560488e+05
5.666667e-01	5.833333e-01	1.712854e+06	4.037238e+05	4.037238e+05
5.833333e-01	6.000000e-01	1.522528e+06	3.806321e+05	3.806321e+05
6.000000e-01	6.166667e-01	1.617686e+06	3.923466e+05	3.923466e+05
6.166667e-01	6.333333e-01	2.228655e+06	4.663512e+05	4.663512e+05
6.333333e-01	6.500000e-01	2.283792e+06	4.661773e+05	4.661773e+05
6.500000e-01	6.666667e-01	1.808002e+06	4.147843e+05	4.147843e+05
6.666667e-01	6.833333e-01	1.903172e+06	4.255622e+05	4.255622e+05
6.833333e-01	7.000000e-01	1.617686e+06	3.923466e+05	3.923466e+05
7.000000e-01	7.166667e-01	1.427370e+06	3.685455e+05	3.685455e+05
7.166667e-01	7.333333e-01	1.998330e+06	4.360715e+05	4.360715e+05
7.333333e-01	7.500000e-01	1.617686e+06	3.923466e+05	3.923466e+05
7.500000e-01	7.666667e-01	1.998318e+06	4.360689e+05	4.360689e+05
7.666667e-01	7.833333e-01	1.522537e+06	3.806344e+05	3.806344e+05
7.833333e-01	8.000000e-01	1.237054e+06	3.430972e+05	3.430972e+05
8.000000e-01	8.166667e-01	1.712844e+06	4.037214e+05	4.037214e+05
8.166667e-01	8.333333e-01	1.237062e+06	3.430992e+05	3.430992e+05
8.333333e-01	8.500000e-01	1.617686e+06	3.923466e+05	3.923466e+05
8.500000e-01	8.666667e-01	2.283792e+06	4.661773e+05	4.661773e+05
8.666667e-01	8.833333e-01	2.283806e+06	4.661800e+05	4.661800e+05
8.833333e-01	9.000000e-01	1.522528e+06	3.806321e+05	3.806321e+05
9.000000e-01	9.166667e-01	1.427370e+06	3.685455e+05	3.685455e+05
9.166667e-01	9.333333e-01	2.110243e+06	4.502031e+05	4.502031e+05
9.333333e-01	9.500000e-01	1.712844e+06	4.037214e+05	4.037214e+05
9.500000e-01	9.666667e-01	2.378951e+06	4.757902e+05	4.757902e+05
9.666667e-01	9.833333e-01	1.998330e+06	4.360715e+05	4.360715e+05
9.833333e-01	1.000000e+00	2.093476e+06	4.463307e+05	4.463307e+05
# END HISTO1D

