# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_m_smallR_boost_C1c
Path=/res/oxford_combined_rw2/total/histo_m_smallR_boost_C1c
Title=m_smallR_boost_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	6.126937e+06	3.906572e+04	3.906572e+04
6.000000e+00	1.200000e+01	7.217452e+06	4.253291e+04	4.253291e+04
1.200000e+01	1.800000e+01	4.706148e+06	3.436313e+04	3.436313e+04
1.800000e+01	2.400000e+01	3.327045e+06	2.890444e+04	2.890444e+04
2.400000e+01	3.000000e+01	2.330943e+06	2.421962e+04	2.421962e+04
3.000000e+01	3.600000e+01	1.537601e+06	1.961829e+04	1.961829e+04
3.600000e+01	4.200000e+01	9.747643e+05	1.559199e+04	1.559199e+04
4.200000e+01	4.800000e+01	5.811923e+05	1.219179e+04	1.219179e+04
4.800000e+01	5.400000e+01	3.438244e+05	9.475995e+03	9.475995e+03
5.400000e+01	6.000000e+01	1.893242e+05	6.868268e+03	6.868268e+03
6.000000e+01	6.600000e+01	1.248473e+05	5.605370e+03	5.605370e+03
6.600000e+01	7.200000e+01	6.978057e+04	4.164362e+03	4.164362e+03
7.200000e+01	7.800000e+01	4.985543e+04	3.562540e+03	3.562540e+03
7.800000e+01	8.400000e+01	2.995532e+04	2.739736e+03	2.739736e+03
8.400000e+01	9.000000e+01	1.812090e+04	2.119973e+03	2.119973e+03
9.000000e+01	9.600000e+01	1.325382e+04	1.816393e+03	1.816393e+03
9.600000e+01	1.020000e+02	1.056672e+04	1.632397e+03	1.632397e+03
1.020000e+02	1.080000e+02	7.711990e+03	1.400743e+03	1.400743e+03
1.080000e+02	1.140000e+02	3.102865e+03	8.787205e+02	8.787205e+02
1.140000e+02	1.200000e+02	2.610793e+03	7.956932e+02	7.956932e+02
1.200000e+02	1.260000e+02	1.439082e+03	5.928732e+02	5.928732e+02
1.260000e+02	1.320000e+02	2.021639e+03	7.030549e+02	7.030549e+02
1.320000e+02	1.380000e+02	2.645906e+03	8.358798e+02	8.358798e+02
1.380000e+02	1.440000e+02	8.893197e+02	4.597837e+02	4.597837e+02
1.440000e+02	1.500000e+02	5.793683e+01	3.279525e+01	3.279525e+01
1.500000e+02	1.560000e+02	3.221868e+02	2.663551e+02	2.663551e+02
1.560000e+02	1.620000e+02	5.780109e+01	3.279533e+01	3.279533e+01
1.620000e+02	1.680000e+02	2.844353e+02	2.650057e+02	2.650057e+02
1.680000e+02	1.740000e+02	3.233003e+02	2.663551e+02	2.663551e+02
1.740000e+02	1.800000e+02	8.509193e+02	4.611477e+02	4.611477e+02
# END HISTOGRAM

