# BEGIN HISTOGRAM /res/oxford_combined_rw2/total/histo_m_smallR_boost_C1e
Path=/res/oxford_combined_rw2/total/histo_m_smallR_boost_C1e
Title=m_smallR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	7.157829e+05	1.331098e+04	1.331098e+04
6.000000e+00	1.200000e+01	8.528123e+05	1.457569e+04	1.457569e+04
1.200000e+01	1.800000e+01	4.869189e+05	1.102212e+04	1.102212e+04
1.800000e+01	2.400000e+01	3.038747e+05	8.721133e+03	8.721133e+03
2.400000e+01	3.000000e+01	1.905160e+05	6.916712e+03	6.916712e+03
3.000000e+01	3.600000e+01	1.303318e+05	5.723490e+03	5.723490e+03
3.600000e+01	4.200000e+01	8.759137e+04	4.700376e+03	4.700376e+03
4.200000e+01	4.800000e+01	5.662746e+04	3.782108e+03	3.782108e+03
4.800000e+01	5.400000e+01	3.658239e+04	3.031414e+03	3.031414e+03
5.400000e+01	6.000000e+01	2.773678e+04	2.647891e+03	2.647891e+03
6.000000e+01	6.600000e+01	1.662601e+04	2.064795e+03	2.064795e+03
6.600000e+01	7.200000e+01	1.445693e+04	1.941079e+03	1.941079e+03
7.200000e+01	7.800000e+01	9.622259e+03	1.545119e+03	1.545119e+03
7.800000e+01	8.400000e+01	1.007412e+04	1.589245e+03	1.589245e+03
8.400000e+01	9.000000e+01	7.220234e+03	1.350207e+03	1.350207e+03
9.000000e+01	9.600000e+01	4.194878e+03	1.025838e+03	1.025838e+03
9.600000e+01	1.020000e+02	1.531333e+03	5.943829e+02	5.943829e+02
1.020000e+02	1.080000e+02	2.908634e+03	8.766781e+02	8.766781e+02
1.080000e+02	1.140000e+02	1.605456e+03	6.477465e+02	6.477465e+02
1.140000e+02	1.200000e+02	5.668993e+02	3.747746e+02	3.747746e+02
1.200000e+02	1.260000e+02	1.919097e+01	1.893428e+01	1.893428e+01
1.260000e+02	1.320000e+02	2.834404e+02	2.650057e+02	2.650057e+02
1.320000e+02	1.380000e+02	1.895510e+01	1.893416e+01	1.893416e+01
1.380000e+02	1.440000e+02	1.780413e-01	1.065843e-01	1.065843e-01
1.440000e+02	1.500000e+02	2.644070e+02	2.643284e+02	2.643284e+02
1.500000e+02	1.560000e+02	1.969071e-02	1.954051e-02	1.954051e-02
1.560000e+02	1.620000e+02	2.643676e+02	2.643284e+02	2.643284e+02
1.620000e+02	1.680000e+02	6.531400e-06	6.531400e-06	6.531400e-06
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

